nom,latitude,longitude,code_postal,codes_postaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latitude_centre,longitude_centre
Lurcy,46.062,4.781,1090,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.062,4.781
Magnieu,45.775,5.715,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.775,5.715
Maillat,46.12,5.528,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.12,5.528
Malafretaz,46.33,5.144,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33,5.144
Mantenay-Montlin,46.43,5.107,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.43,5.107
Manziat,46.364,4.902,1570,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.364,4.902
Marboz,46.343,5.244,1851,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.343,5.244
Marchamp,45.774,5.55,1680,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.774,5.55
Marignieu,45.801,5.716,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.801,5.716
Marlieux,46.055,5.074,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.055,5.074
Marsonnas,46.341,5.064,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.341,5.064
Martignat,46.203,5.614,1100,"01101, 01100, 01117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.203,5.614
Massieux,45.909,4.828,1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.909,4.828
Massignieu-de-Rives,45.757,5.762,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.757,5.762
Matafelon-Granges,46.256,5.54,1580,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.256,5.54
Meillonnas,46.245,5.336,1370,"01370, 01009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.245,5.336
Mérignat,46.065,5.442,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.065,5.442
Messimy-sur-Saône,46.047,4.759,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.047,4.759
Meximieux,45.906,5.204,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.906,5.204
Bohas-Meyriat-Rignat,46.143,5.378,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.143,5.378
Mézériat,46.242,5.047,1660,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.242,5.047
Mijoux,46.362,6.009,1170,"01170, 01410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.362,6.009
Mionnay,45.896,4.924,1390,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.896,4.924
